cdm_manifest,cdm_manifest_path,cdm_source_file,cdm_entity_name,cdm_attribute_name,cdm_display_name,description,cdm_semantic_meanings,cdm_data_type,cdm_data_format,is_primary_key,is_foreign_key,cdm_related_manifest,cdm_related_manifest_source_file,dbt_schema_name,dbt_model_name,dbt_column_name,dbt_related_schema_name,dbt_related_model_name,dbt_related_column_name,dbt_data_type,duckdb_data_type,bigquery_data_type,pandas_data_type,dbt_labels
CostAccounting,local:/core/operationsCommon/Entities/SupplyChain/CostAccounting/CostAccounting.1.0.1.manifest.cdm.json,CAMImportedCostObjectDimensionMemberEntity.1.0.1.cdm.json/CAMImportedCostObjectDimensionMemberEntity,CAMImportedCostObjectDimensionMemberEntity,SourceIdentifier,,,,string,CdmDataFormat.STRING,False,False,,,cost_accounting,cam_imported_cost_object_dimension_member_entity,source_identifier,,,,STRING,VARCHAR,STRING,object,
CostAccounting,local:/core/operationsCommon/Entities/SupplyChain/CostAccounting/CostAccounting.1.0.1.manifest.cdm.json,CAMImportedCostObjectDimensionMemberEntity.1.0.1.cdm.json/CAMImportedCostObjectDimensionMemberEntity,CAMImportedCostObjectDimensionMemberEntity,MemberName,,,,string,CdmDataFormat.STRING,False,False,,,cost_accounting,cam_imported_cost_object_dimension_member_entity,member_name,,,,STRING,VARCHAR,STRING,object,
CostAccounting,local:/core/operationsCommon/Entities/SupplyChain/CostAccounting/CostAccounting.1.0.1.manifest.cdm.json,CAMImportedCostObjectDimensionMemberEntity.1.0.1.cdm.json/CAMImportedCostObjectDimensionMemberEntity,CAMImportedCostObjectDimensionMemberEntity,MemberDescription,,,,string,CdmDataFormat.STRING,False,False,,,cost_accounting,cam_imported_cost_object_dimension_member_entity,member_description,,,,STRING,VARCHAR,STRING,object,
CostAccounting,local:/core/operationsCommon/Entities/SupplyChain/CostAccounting/CostAccounting.1.0.1.manifest.cdm.json,CAMAggregatedStatisticalEntryWithHierarchiesEntity.1.0.1.cdm.json/CAMAggregatedStatisticalEntryWithHierarchiesEntity,CAMAggregatedStatisticalEntryWithHierarchiesEntity,CostObjectDimensionHierarchyLevel1,,,,string,CdmDataFormat.STRING,False,False,,,cost_accounting,cam_aggregated_statistical_entry_with_hierarchies_entity,cost_object_dimension_hierarchy_level1,,,,STRING,VARCHAR,STRING,object,
CostAccounting,local:/core/operationsCommon/Entities/SupplyChain/CostAccounting/CostAccounting.1.0.1.manifest.cdm.json,CAMAggregatedStatisticalEntryWithHierarchiesEntity.1.0.1.cdm.json/CAMAggregatedStatisticalEntryWithHierarchiesEntity,CAMAggregatedStatisticalEntryWithHierarchiesEntity,CostObjectDimensionHierarchyLevel10,,,,string,CdmDataFormat.STRING,False,False,,,cost_accounting,cam_aggregated_statistical_entry_with_hierarchies_entity,cost_object_dimension_hierarchy_level10,,,,STRING,VARCHAR,STRING,object,
CostAccounting,local:/core/operationsCommon/Entities/SupplyChain/CostAccounting/CostAccounting.1.0.1.manifest.cdm.json,CAMAggregatedStatisticalEntryWithHierarchiesEntity.1.0.1.cdm.json/CAMAggregatedStatisticalEntryWithHierarchiesEntity,CAMAggregatedStatisticalEntryWithHierarchiesEntity,CostObjectDimensionHierarchyLevel11,,,,string,CdmDataFormat.STRING,False,False,,,cost_accounting,cam_aggregated_statistical_entry_with_hierarchies_entity,cost_object_dimension_hierarchy_level11,,,,STRING,VARCHAR,STRING,object,
CostAccounting,local:/core/operationsCommon/Entities/SupplyChain/CostAccounting/CostAccounting.1.0.1.manifest.cdm.json,CAMAggregatedStatisticalEntryWithHierarchiesEntity.1.0.1.cdm.json/CAMAggregatedStatisticalEntryWithHierarchiesEntity,CAMAggregatedStatisticalEntryWithHierarchiesEntity,CostObjectDimensionHierarchyLevel12,,,,string,CdmDataFormat.STRING,False,False,,,cost_accounting,cam_aggregated_statistical_entry_with_hierarchies_entity,cost_object_dimension_hierarchy_level12,,,,STRING,VARCHAR,STRING,object,
CostAccounting,local:/core/operationsCommon/Entities/SupplyChain/CostAccounting/CostAccounting.1.0.1.manifest.cdm.json,CAMAggregatedStatisticalEntryWithHierarchiesEntity.1.0.1.cdm.json/CAMAggregatedStatisticalEntryWithHierarchiesEntity,CAMAggregatedStatisticalEntryWithHierarchiesEntity,CostObjectDimensionHierarchyLevel13,,,,string,CdmDataFormat.STRING,False,False,,,cost_accounting,cam_aggregated_statistical_entry_with_hierarchies_entity,cost_object_dimension_hierarchy_level13,,,,STRING,VARCHAR,STRING,object,
CostAccounting,local:/core/operationsCommon/Entities/SupplyChain/CostAccounting/CostAccounting.1.0.1.manifest.cdm.json,CAMAggregatedStatisticalEntryWithHierarchiesEntity.1.0.1.cdm.json/CAMAggregatedStatisticalEntryWithHierarchiesEntity,CAMAggregatedStatisticalEntryWithHierarchiesEntity,CostObjectDimensionHierarchyLevel14,,,,string,CdmDataFormat.STRING,False,False,,,cost_accounting,cam_aggregated_statistical_entry_with_hierarchies_entity,cost_object_dimension_hierarchy_level14,,,,STRING,VARCHAR,STRING,object,
CostAccounting,local:/core/operationsCommon/Entities/SupplyChain/CostAccounting/CostAccounting.1.0.1.manifest.cdm.json,CAMAggregatedStatisticalEntryWithHierarchiesEntity.1.0.1.cdm.json/CAMAggregatedStatisticalEntryWithHierarchiesEntity,CAMAggregatedStatisticalEntryWithHierarchiesEntity,CostObjectDimensionHierarchyLevel15,,,,string,CdmDataFormat.STRING,False,False,,,cost_accounting,cam_aggregated_statistical_entry_with_hierarchies_entity,cost_object_dimension_hierarchy_level15,,,,STRING,VARCHAR,STRING,object,
CostAccounting,local:/core/operationsCommon/Entities/SupplyChain/CostAccounting/CostAccounting.1.0.1.manifest.cdm.json,CAMAggregatedStatisticalEntryWithHierarchiesEntity.1.0.1.cdm.json/CAMAggregatedStatisticalEntryWithHierarchiesEntity,CAMAggregatedStatisticalEntryWithHierarchiesEntity,CostObjectDimensionHierarchyLevel2,,,,string,CdmDataFormat.STRING,False,False,,,cost_accounting,cam_aggregated_statistical_entry_with_hierarchies_entity,cost_object_dimension_hierarchy_level2,,,,STRING,VARCHAR,STRING,object,
CostAccounting,local:/core/operationsCommon/Entities/SupplyChain/CostAccounting/CostAccounting.1.0.1.manifest.cdm.json,CAMAggregatedStatisticalEntryWithHierarchiesEntity.1.0.1.cdm.json/CAMAggregatedStatisticalEntryWithHierarchiesEntity,CAMAggregatedStatisticalEntryWithHierarchiesEntity,CostObjectDimensionHierarchyLevel3,,,,string,CdmDataFormat.STRING,False,False,,,cost_accounting,cam_aggregated_statistical_entry_with_hierarchies_entity,cost_object_dimension_hierarchy_level3,,,,STRING,VARCHAR,STRING,object,
CostAccounting,local:/core/operationsCommon/Entities/SupplyChain/CostAccounting/CostAccounting.1.0.1.manifest.cdm.json,CAMAggregatedStatisticalEntryWithHierarchiesEntity.1.0.1.cdm.json/CAMAggregatedStatisticalEntryWithHierarchiesEntity,CAMAggregatedStatisticalEntryWithHierarchiesEntity,CostObjectDimensionHierarchyLevel4,,,,string,CdmDataFormat.STRING,False,False,,,cost_accounting,cam_aggregated_statistical_entry_with_hierarchies_entity,cost_object_dimension_hierarchy_level4,,,,STRING,VARCHAR,STRING,object,
CostAccounting,local:/core/operationsCommon/Entities/SupplyChain/CostAccounting/CostAccounting.1.0.1.manifest.cdm.json,CAMAggregatedStatisticalEntryWithHierarchiesEntity.1.0.1.cdm.json/CAMAggregatedStatisticalEntryWithHierarchiesEntity,CAMAggregatedStatisticalEntryWithHierarchiesEntity,CostObjectDimensionHierarchyLevel5,,,,string,CdmDataFormat.STRING,False,False,,,cost_accounting,cam_aggregated_statistical_entry_with_hierarchies_entity,cost_object_dimension_hierarchy_level5,,,,STRING,VARCHAR,STRING,object,
CostAccounting,local:/core/operationsCommon/Entities/SupplyChain/CostAccounting/CostAccounting.1.0.1.manifest.cdm.json,CAMAggregatedStatisticalEntryWithHierarchiesEntity.1.0.1.cdm.json/CAMAggregatedStatisticalEntryWithHierarchiesEntity,CAMAggregatedStatisticalEntryWithHierarchiesEntity,CostObjectDimensionHierarchyLevel6,,,,string,CdmDataFormat.STRING,False,False,,,cost_accounting,cam_aggregated_statistical_entry_with_hierarchies_entity,cost_object_dimension_hierarchy_level6,,,,STRING,VARCHAR,STRING,object,
CostAccounting,local:/core/operationsCommon/Entities/SupplyChain/CostAccounting/CostAccounting.1.0.1.manifest.cdm.json,CAMAggregatedStatisticalEntryWithHierarchiesEntity.1.0.1.cdm.json/CAMAggregatedStatisticalEntryWithHierarchiesEntity,CAMAggregatedStatisticalEntryWithHierarchiesEntity,CostObjectDimensionHierarchyLevel7,,,,string,CdmDataFormat.STRING,False,False,,,cost_accounting,cam_aggregated_statistical_entry_with_hierarchies_entity,cost_object_dimension_hierarchy_level7,,,,STRING,VARCHAR,STRING,object,
