cdm_manifest,cdm_manifest_path,cdm_source_file,cdm_entity_name,cdm_attribute_name,cdm_display_name,description,cdm_semantic_meanings,cdm_data_type,cdm_data_format,is_primary_key,is_nullable,is_foreign_key,cdm_related_manifest,cdm_related_entity,cdm_related_attribute,cdm_related_manifest_source_file,dbt_schema_name,dbt_model_name,dbt_column_name,dbt_related_schema_name,dbt_related_model_name,dbt_related_column_name,dbt_data_type,duckdb_data_type,bigquery_data_type,pandas_data_type,dbt_labels
TransactionLine,local:/core/operationsCommon/Tables/Finance/AccountingFoundation/TransactionLine/TransactionLine.1.2.manifest.cdm.json,SourceDocumentLine.1.2.cdm.json/SourceDocumentLine,SourceDocumentLine,RecId,,,,int64,CdmDataFormat.INT64,False,,False,,,,,transaction_line,source_document_line,rec_id,,,,BIGINT,BIGINT,INT64,Int64,
TransactionLine,local:/core/operationsCommon/Tables/Finance/AccountingFoundation/TransactionLine/TransactionLine.1.2.manifest.cdm.json,SourceDocumentLine.1.2.cdm.json/SourceDocumentLine,SourceDocumentLine,AccountingStatus,,,,int32,CdmDataFormat.INT32,False,,False,,,,,transaction_line,source_document_line,accounting_status,,,,INT,INTEGER,INT64,Int32,
TransactionLine,local:/core/operationsCommon/Tables/Finance/AccountingFoundation/TransactionLine/TransactionLine.1.2.manifest.cdm.json,SourceDocumentLine.1.2.cdm.json/SourceDocumentLine,SourceDocumentLine,ExchangeRateDate,,,means.measurement.date,date,CdmDataFormat.DATE,False,,False,,,,,transaction_line,source_document_line,exchange_rate_date,,,,,,,,category:measurement|subcategory:date|role:dimension
TransactionLine,local:/core/operationsCommon/Tables/Finance/AccountingFoundation/TransactionLine/TransactionLine.1.2.manifest.cdm.json,SourceDocumentLine.1.2.cdm.json/SourceDocumentLine,SourceDocumentLine,IsFinal,,,,int32,CdmDataFormat.INT32,False,,False,,,,,transaction_line,source_document_line,is_final,,,,INT,INTEGER,INT64,Int32,
TransactionLine,local:/core/operationsCommon/Tables/Finance/AccountingFoundation/TransactionLine/TransactionLine.1.2.manifest.cdm.json,SourceDocumentLine.1.2.cdm.json/SourceDocumentLine,SourceDocumentLine,ParentSourceDocumentLine,,,,int64,CdmDataFormat.INT64,False,,False,,,,,transaction_line,source_document_line,parent_source_document_line,,,,BIGINT,BIGINT,INT64,Int64,
TransactionLine,local:/core/operationsCommon/Tables/Finance/AccountingFoundation/TransactionLine/TransactionLine.1.2.manifest.cdm.json,SourceDocumentLine.1.2.cdm.json/SourceDocumentLine,SourceDocumentLine,SourceDocumentHeader,,,,int64,CdmDataFormat.INT64,False,,False,,,,,transaction_line,source_document_line,source_document_header,,,,BIGINT,BIGINT,INT64,Int64,
TransactionLine,local:/core/operationsCommon/Tables/Finance/AccountingFoundation/TransactionLine/TransactionLine.1.2.manifest.cdm.json,SourceDocumentLine.1.2.cdm.json/SourceDocumentLine,SourceDocumentLine,SourceRelationType,,,,int32,CdmDataFormat.INT32,False,,False,,,,,transaction_line,source_document_line,source_relation_type,,,,INT,INTEGER,INT64,Int32,
TransactionLine,local:/core/operationsCommon/Tables/Finance/AccountingFoundation/TransactionLine/TransactionLine.1.2.manifest.cdm.json,SourceDocumentLine.1.2.cdm.json/SourceDocumentLine,SourceDocumentLine,StateContainer,,,,binary,CdmDataFormat.BINARY,False,,False,,,,,transaction_line,source_document_line,state_container,,,,,,,,
TransactionLine,local:/core/operationsCommon/Tables/Finance/AccountingFoundation/TransactionLine/TransactionLine.1.2.manifest.cdm.json,SourceDocumentLine.1.2.cdm.json/SourceDocumentLine,SourceDocumentLine,TypeEnumName,,,,string,CdmDataFormat.STRING,False,,False,,,,,transaction_line,source_document_line,type_enum_name,,,,STRING,VARCHAR,STRING,object,
TransactionLine,local:/core/operationsCommon/Tables/Finance/AccountingFoundation/TransactionLine/TransactionLine.1.2.manifest.cdm.json,SourceDocumentLine.1.2.cdm.json/SourceDocumentLine,SourceDocumentLine,TypeEnumValue,,,,int32,CdmDataFormat.INT32,False,,False,,,,,transaction_line,source_document_line,type_enum_value,,,,INT,INTEGER,INT64,Int32,
TransactionLine,local:/core/operationsCommon/Tables/Finance/AccountingFoundation/TransactionLine/TransactionLine.1.2.manifest.cdm.json,SourceDocumentLine.1.2.cdm.json/SourceDocumentLine,SourceDocumentLine,TermQuantity,,,,decimal,CdmDataFormat.DECIMAL,False,,False,,,,,transaction_line,source_document_line,term_quantity,,,,NUMERIC,DECIMAL,NUMERIC,float64,
TransactionLine,local:/core/operationsCommon/Tables/Finance/AccountingFoundation/TransactionLine/TransactionLine.1.2.manifest.cdm.json,SourceDocumentLine.1.2.cdm.json/SourceDocumentLine,SourceDocumentLine,DraftVersion,,,,int32,CdmDataFormat.INT32,False,,False,,,,,transaction_line,source_document_line,draft_version,,,,INT,INTEGER,INT64,Int32,
TransactionLine,local:/core/operationsCommon/Tables/Finance/AccountingFoundation/TransactionLine/TransactionLine.1.2.manifest.cdm.json,SourceDocumentLine.1.2.cdm.json/SourceDocumentLine,SourceDocumentLine,Relationship_SourceDocumentHeaderRelationshipId,,,means.identity.entityId,guid,CdmDataFormat.GUID,True,False,True,TransactionHeader,SourceDocumentHeader,id,local:/core/operationsCommon/Tables/Finance/AccountingFoundation/TransactionHeader/TransactionHeader.manifest.cdm.json,transaction_line,source_document_line,relationship_source_document_header_relationship_id,transaction_header,source_document_header,id,STRING,UUID,STRING,object,category:identity|subcategory:entityId|role:dimension
TransactionLine,local:/core/operationsCommon/Tables/Finance/AccountingFoundation/TransactionLine/TransactionLine.1.2.manifest.cdm.json,SourceDocumentLine.1.2.cdm.json/SourceDocumentLine,SourceDocumentLine,OrderAccount,,,,string,CdmDataFormat.STRING,False,,False,,,,,transaction_line,source_document_line,order_account,,,,STRING,VARCHAR,STRING,object,
TransactionLine,local:/core/operationsCommon/Tables/Finance/AccountingFoundation/TransactionLine/TransactionLine.1.2.manifest.cdm.json,SourceDocumentLine.1.2.cdm.json/SourceDocumentLine,SourceDocumentLine,AccountingDistributionTemplate,,,,int64,CdmDataFormat.INT64,False,,False,,,,,transaction_line,source_document_line,accounting_distribution_template,,,,BIGINT,BIGINT,INT64,Int64,
TransactionLine,local:/core/operationsCommon/Tables/Finance/AccountingFoundation/TransactionLine/TransactionLine.1.2.manifest.cdm.json,SourceDocumentLine.1.2.cdm.json/SourceDocumentLine,SourceDocumentLine,AdvanceApplicationId,,,,int64,CdmDataFormat.INT64,False,,False,,,,,transaction_line,source_document_line,advance_application_id,,,,BIGINT,BIGINT,INT64,Int64,
TransactionLine,local:/core/operationsCommon/Tables/Finance/AccountingFoundation/TransactionLine/TransactionLine.1.2.manifest.cdm.json,SourceDocumentLine.1.2.cdm.json/SourceDocumentLine,SourceDocumentLine,AddressRefRecId,,,,int64,CdmDataFormat.INT64,False,,False,,,,,transaction_line,source_document_line,address_ref_rec_id,,,,BIGINT,BIGINT,INT64,Int64,
TransactionLine,local:/core/operationsCommon/Tables/Finance/AccountingFoundation/TransactionLine/TransactionLine.1.2.manifest.cdm.json,SourceDocumentLine.1.2.cdm.json/SourceDocumentLine,SourceDocumentLine,AddressRefTableId,,,,int32,CdmDataFormat.INT32,False,,False,,,,,transaction_line,source_document_line,address_ref_table_id,,,,INT,INTEGER,INT64,Int32,
TransactionLine,local:/core/operationsCommon/Tables/Finance/AccountingFoundation/TransactionLine/TransactionLine.1.2.manifest.cdm.json,SourceDocumentLine.1.2.cdm.json/SourceDocumentLine,SourceDocumentLine,AgreementLine_PSN,,,,int64,CdmDataFormat.INT64,False,,False,,,,,transaction_line,source_document_line,agreement_line_psn,,,,BIGINT,BIGINT,INT64,Int64,
TransactionLine,local:/core/operationsCommon/Tables/Finance/AccountingFoundation/TransactionLine/TransactionLine.1.2.manifest.cdm.json,SourceDocumentLine.1.2.cdm.json/SourceDocumentLine,SourceDocumentLine,changedManually,Change quantity manually,,,int32,CdmDataFormat.INT32,False,,False,,,,,transaction_line,source_document_line,changed_manually,,,,INT,INTEGER,INT64,Int32,
TransactionLine,local:/core/operationsCommon/Tables/Finance/AccountingFoundation/TransactionLine/TransactionLine.1.2.manifest.cdm.json,SourceDocumentLine.1.2.cdm.json/SourceDocumentLine,SourceDocumentLine,closed,Close for receipt,,,int32,CdmDataFormat.INT32,False,,False,,,,,transaction_line,source_document_line,closed,,,,INT,INTEGER,INT64,Int32,
TransactionLine,local:/core/operationsCommon/Tables/Finance/AccountingFoundation/TransactionLine/TransactionLine.1.2.manifest.cdm.json,SourceDocumentLine.1.2.cdm.json/SourceDocumentLine,SourceDocumentLine,CountyOrigDest,,,,string,CdmDataFormat.STRING,False,,False,,,,,transaction_line,source_document_line,county_orig_dest,,,,STRING,VARCHAR,STRING,object,
TransactionLine,local:/core/operationsCommon/Tables/Finance/AccountingFoundation/TransactionLine/TransactionLine.1.2.manifest.cdm.json,SourceDocumentLine.1.2.cdm.json/SourceDocumentLine,SourceDocumentLine,currencyCode,,,,string,CdmDataFormat.STRING,False,,False,,,,,transaction_line,source_document_line,currency_code,,,,STRING,VARCHAR,STRING,object,
TransactionLine,local:/core/operationsCommon/Tables/Finance/AccountingFoundation/TransactionLine/TransactionLine.1.2.manifest.cdm.json,SourceDocumentLine.1.2.cdm.json/SourceDocumentLine,SourceDocumentLine,DefaultDimension,,,,int64,CdmDataFormat.INT64,False,,False,,,,,transaction_line,source_document_line,default_dimension,,,,BIGINT,BIGINT,INT64,Int64,
TransactionLine,local:/core/operationsCommon/Tables/Finance/AccountingFoundation/TransactionLine/TransactionLine.1.2.manifest.cdm.json,SourceDocumentLine.1.2.cdm.json/SourceDocumentLine,SourceDocumentLine,DeliveryName,Delivery name,,,string,CdmDataFormat.STRING,False,,False,,,,,transaction_line,source_document_line,delivery_name,,,,STRING,VARCHAR,STRING,object,
