cdm_manifest,cdm_manifest_path,cdm_source_file,cdm_entity_name,cdm_attribute_name,cdm_display_name,description,cdm_semantic_meanings,cdm_data_type,cdm_data_format,is_primary_key,is_nullable,is_foreign_key,cdm_related_manifest,cdm_related_entity,cdm_related_attribute,cdm_related_manifest_source_file,dbt_schema_name,dbt_model_name,dbt_column_name,dbt_related_schema_name,dbt_related_model_name,dbt_related_column_name,dbt_data_type,duckdb_data_type,bigquery_data_type,pandas_data_type,dbt_labels
Cloud for Sustainability Shared Data Model CDM manifest,local:/Sustainability/CloudforSustainabilitySharedDataModel/CloudforSustainabilitySharedDataModel.1.0.manifest.cdm.json,Account.1.0.cdm.json/Account,Account,accountId,,,,unknown,CdmDataFormat.UNKNOWN,True,False,False,,,,,cloudfor_sustainability_shared_data_model_cd_mmanifest,account,account_id,,,,,,,,
Cloud for Sustainability Shared Data Model CDM manifest,local:/Sustainability/CloudforSustainabilitySharedDataModel/CloudforSustainabilitySharedDataModel.1.0.manifest.cdm.json,Account.1.0.cdm.json/Account,Account,accountCategoryCode,,,,unknown,CdmDataFormat.UNKNOWN,False,,False,,,,,cloudfor_sustainability_shared_data_model_cd_mmanifest,account,account_category_code,,,,,,,,
Cloud for Sustainability Shared Data Model CDM manifest,local:/Sustainability/CloudforSustainabilitySharedDataModel/CloudforSustainabilitySharedDataModel.1.0.manifest.cdm.json,Account.1.0.cdm.json/Account,Account,companyname,,,,unknown,CdmDataFormat.UNKNOWN,False,,False,,,,,cloudfor_sustainability_shared_data_model_cd_mmanifest,account,companyname,,,,,,,,
Cloud for Sustainability Shared Data Model CDM manifest,local:/Sustainability/CloudforSustainabilitySharedDataModel/CloudforSustainabilitySharedDataModel.1.0.manifest.cdm.json,Account.1.0.cdm.json/Account,Account,industry,,,,unknown,CdmDataFormat.UNKNOWN,False,,False,,,,,cloudfor_sustainability_shared_data_model_cd_mmanifest,account,industry,,,,,,,,
Cloud for Sustainability Shared Data Model CDM manifest,local:/Sustainability/CloudforSustainabilitySharedDataModel/CloudforSustainabilitySharedDataModel.1.0.manifest.cdm.json,Account.1.0.cdm.json/Account,Account,reportingstartday,,,,unknown,CdmDataFormat.UNKNOWN,False,,False,,,,,cloudfor_sustainability_shared_data_model_cd_mmanifest,account,reportingstartday,,,,,,,,
Cloud for Sustainability Shared Data Model CDM manifest,local:/Sustainability/CloudforSustainabilitySharedDataModel/CloudforSustainabilitySharedDataModel.1.0.manifest.cdm.json,Account.1.0.cdm.json/Account,Account,reportingstartmonth,,,,unknown,CdmDataFormat.UNKNOWN,False,,False,,,,,cloudfor_sustainability_shared_data_model_cd_mmanifest,account,reportingstartmonth,,,,,,,,
Cloud for Sustainability Shared Data Model CDM manifest,local:/Sustainability/CloudforSustainabilitySharedDataModel/CloudforSustainabilitySharedDataModel.1.0.manifest.cdm.json,Account.1.0.cdm.json/Account,Account,siccode,,,,unknown,CdmDataFormat.UNKNOWN,False,,False,,,,,cloudfor_sustainability_shared_data_model_cd_mmanifest,account,siccode,,,,,,,,
Cloud for Sustainability Shared Data Model CDM manifest,local:/Sustainability/CloudforSustainabilitySharedDataModel/CloudforSustainabilitySharedDataModel.1.0.manifest.cdm.json,Account.1.0.cdm.json/Account,Account,suppliertier,,,,unknown,CdmDataFormat.UNKNOWN,False,,False,,,,,cloudfor_sustainability_shared_data_model_cd_mmanifest,account,suppliertier,,,,,,,,
Cloud for Sustainability Shared Data Model CDM manifest,local:/Sustainability/CloudforSustainabilitySharedDataModel/CloudforSustainabilitySharedDataModel.1.0.manifest.cdm.json,Account.1.0.cdm.json/Account,Account,origincorrelationid,,,,unknown,CdmDataFormat.UNKNOWN,False,,False,,,,,cloudfor_sustainability_shared_data_model_cd_mmanifest,account,origincorrelationid,,,,,,,,
Cloud for Sustainability Shared Data Model CDM manifest,local:/Sustainability/CloudforSustainabilitySharedDataModel/CloudforSustainabilitySharedDataModel.1.0.manifest.cdm.json,Account.1.0.cdm.json/Account,Account,sustainabilityaccountname,,,,unknown,CdmDataFormat.UNKNOWN,False,,False,,,,,cloudfor_sustainability_shared_data_model_cd_mmanifest,account,sustainabilityaccountname,,,,,,,,
Cloud for Sustainability Shared Data Model CDM manifest,local:/Sustainability/CloudforSustainabilitySharedDataModel/CloudforSustainabilitySharedDataModel.1.0.manifest.cdm.json,Contact.1.0.cdm.json/Contact,Contact,contactId,,,,unknown,CdmDataFormat.UNKNOWN,True,False,False,,,,,cloudfor_sustainability_shared_data_model_cd_mmanifest,contact,contact_id,,,,,,,,
Cloud for Sustainability Shared Data Model CDM manifest,local:/Sustainability/CloudforSustainabilitySharedDataModel/CloudforSustainabilitySharedDataModel.1.0.manifest.cdm.json,Contact.1.0.cdm.json/Contact,Contact,sustainabilitycontactname,,,,unknown,CdmDataFormat.UNKNOWN,False,,False,,,,,cloudfor_sustainability_shared_data_model_cd_mmanifest,contact,sustainabilitycontactname,,,,,,,,
Cloud for Sustainability Shared Data Model CDM manifest,local:/Sustainability/CloudforSustainabilitySharedDataModel/CloudforSustainabilitySharedDataModel.1.0.manifest.cdm.json,Contact.1.0.cdm.json/Contact,Contact,origincorrelationid,,,,unknown,CdmDataFormat.UNKNOWN,False,,False,,,,,cloudfor_sustainability_shared_data_model_cd_mmanifest,contact,origincorrelationid,,,,,,,,
Cloud for Sustainability Shared Data Model CDM manifest,local:/Sustainability/CloudforSustainabilitySharedDataModel/CloudforSustainabilitySharedDataModel.1.0.manifest.cdm.json,FactorLibrary.1.0.cdm.json/FactorLibrary,FactorLibrary,calculationlibraryId,,,,unknown,CdmDataFormat.UNKNOWN,False,,False,,,,,cloudfor_sustainability_shared_data_model_cd_mmanifest,factor_library,calculationlibrary_id,,,,,,,,
Cloud for Sustainability Shared Data Model CDM manifest,local:/Sustainability/CloudforSustainabilitySharedDataModel/CloudforSustainabilitySharedDataModel.1.0.manifest.cdm.json,FactorLibrary.1.0.cdm.json/FactorLibrary,FactorLibrary,createdOn,,,,unknown,CdmDataFormat.UNKNOWN,False,,False,,,,,cloudfor_sustainability_shared_data_model_cd_mmanifest,factor_library,created_on,,,,,,,,
Cloud for Sustainability Shared Data Model CDM manifest,local:/Sustainability/CloudforSustainabilitySharedDataModel/CloudforSustainabilitySharedDataModel.1.0.manifest.cdm.json,FactorLibrary.1.0.cdm.json/FactorLibrary,FactorLibrary,modifiedOn,,,,unknown,CdmDataFormat.UNKNOWN,False,,False,,,,,cloudfor_sustainability_shared_data_model_cd_mmanifest,factor_library,modified_on,,,,,,,,
Cloud for Sustainability Shared Data Model CDM manifest,local:/Sustainability/CloudforSustainabilitySharedDataModel/CloudforSustainabilitySharedDataModel.1.0.manifest.cdm.json,FactorLibrary.1.0.cdm.json/FactorLibrary,FactorLibrary,statecode,,,,unknown,CdmDataFormat.UNKNOWN,False,,False,,,,,cloudfor_sustainability_shared_data_model_cd_mmanifest,factor_library,statecode,,,,,,,,
Cloud for Sustainability Shared Data Model CDM manifest,local:/Sustainability/CloudforSustainabilitySharedDataModel/CloudforSustainabilitySharedDataModel.1.0.manifest.cdm.json,FactorLibrary.1.0.cdm.json/FactorLibrary,FactorLibrary,statuscode,,,,unknown,CdmDataFormat.UNKNOWN,False,,False,,,,,cloudfor_sustainability_shared_data_model_cd_mmanifest,factor_library,statuscode,,,,,,,,
Cloud for Sustainability Shared Data Model CDM manifest,local:/Sustainability/CloudforSustainabilitySharedDataModel/CloudforSustainabilitySharedDataModel.1.0.manifest.cdm.json,FactorLibrary.1.0.cdm.json/FactorLibrary,FactorLibrary,importSequenceNumber,,,,unknown,CdmDataFormat.UNKNOWN,False,,False,,,,,cloudfor_sustainability_shared_data_model_cd_mmanifest,factor_library,import_sequence_number,,,,,,,,
Cloud for Sustainability Shared Data Model CDM manifest,local:/Sustainability/CloudforSustainabilitySharedDataModel/CloudforSustainabilitySharedDataModel.1.0.manifest.cdm.json,FactorLibrary.1.0.cdm.json/FactorLibrary,FactorLibrary,overriddenCreatedOn,,,,unknown,CdmDataFormat.UNKNOWN,False,,False,,,,,cloudfor_sustainability_shared_data_model_cd_mmanifest,factor_library,overridden_created_on,,,,,,,,
Cloud for Sustainability Shared Data Model CDM manifest,local:/Sustainability/CloudforSustainabilitySharedDataModel/CloudforSustainabilitySharedDataModel.1.0.manifest.cdm.json,FactorLibrary.1.0.cdm.json/FactorLibrary,FactorLibrary,timeZoneRuleVersionNumber,,,,unknown,CdmDataFormat.UNKNOWN,False,,False,,,,,cloudfor_sustainability_shared_data_model_cd_mmanifest,factor_library,time_zone_rule_version_number,,,,,,,,
Cloud for Sustainability Shared Data Model CDM manifest,local:/Sustainability/CloudforSustainabilitySharedDataModel/CloudforSustainabilitySharedDataModel.1.0.manifest.cdm.json,FactorLibrary.1.0.cdm.json/FactorLibrary,FactorLibrary,UTCConversionTimeZoneCode,,,,unknown,CdmDataFormat.UNKNOWN,False,,False,,,,,cloudfor_sustainability_shared_data_model_cd_mmanifest,factor_library,utc_conversion_time_zone_code,,,,,,,,
Cloud for Sustainability Shared Data Model CDM manifest,local:/Sustainability/CloudforSustainabilitySharedDataModel/CloudforSustainabilitySharedDataModel.1.0.manifest.cdm.json,FactorLibrary.1.0.cdm.json/FactorLibrary,FactorLibrary,name,,,,unknown,CdmDataFormat.UNKNOWN,False,,False,,,,,cloudfor_sustainability_shared_data_model_cd_mmanifest,factor_library,name,,,,,,,,
Cloud for Sustainability Shared Data Model CDM manifest,local:/Sustainability/CloudforSustainabilitySharedDataModel/CloudforSustainabilitySharedDataModel.1.0.manifest.cdm.json,FactorLibrary.1.0.cdm.json/FactorLibrary,FactorLibrary,attribution,,,,unknown,CdmDataFormat.UNKNOWN,False,,False,,,,,cloudfor_sustainability_shared_data_model_cd_mmanifest,factor_library,attribution,,,,,,,,
Cloud for Sustainability Shared Data Model CDM manifest,local:/Sustainability/CloudforSustainabilitySharedDataModel/CloudforSustainabilitySharedDataModel.1.0.manifest.cdm.json,FactorLibrary.1.0.cdm.json/FactorLibrary,FactorLibrary,description,,,,unknown,CdmDataFormat.UNKNOWN,False,,False,,,,,cloudfor_sustainability_shared_data_model_cd_mmanifest,factor_library,description,,,,,,,,
Cloud for Sustainability Shared Data Model CDM manifest,local:/Sustainability/CloudforSustainabilitySharedDataModel/CloudforSustainabilitySharedDataModel.1.0.manifest.cdm.json,FactorLibrary.1.0.cdm.json/FactorLibrary,FactorLibrary,documentationreference,,,,unknown,CdmDataFormat.UNKNOWN,False,,False,,,,,cloudfor_sustainability_shared_data_model_cd_mmanifest,factor_library,documentationreference,,,,,,,,
Cloud for Sustainability Shared Data Model CDM manifest,local:/Sustainability/CloudforSustainabilitySharedDataModel/CloudforSustainabilitySharedDataModel.1.0.manifest.cdm.json,FactorLibrary.1.0.cdm.json/FactorLibrary,FactorLibrary,librarytype,,,,unknown,CdmDataFormat.UNKNOWN,False,,False,,,,,cloudfor_sustainability_shared_data_model_cd_mmanifest,factor_library,librarytype,,,,,,,,
Cloud for Sustainability Shared Data Model CDM manifest,local:/Sustainability/CloudforSustainabilitySharedDataModel/CloudforSustainabilitySharedDataModel.1.0.manifest.cdm.json,FactorLibrary.1.0.cdm.json/FactorLibrary,FactorLibrary,sustainabilitymodule,,,,unknown,CdmDataFormat.UNKNOWN,False,,False,,,,,cloudfor_sustainability_shared_data_model_cd_mmanifest,factor_library,sustainabilitymodule,,,,,,,,
Cloud for Sustainability Shared Data Model CDM manifest,local:/Sustainability/CloudforSustainabilitySharedDataModel/CloudforSustainabilitySharedDataModel.1.0.manifest.cdm.json,FactorLibrary.1.0.cdm.json/FactorLibrary,FactorLibrary,origincorrelationid,,,,unknown,CdmDataFormat.UNKNOWN,False,,False,,,,,cloudfor_sustainability_shared_data_model_cd_mmanifest,factor_library,origincorrelationid,,,,,,,,
Cloud for Sustainability Shared Data Model CDM manifest,local:/Sustainability/CloudforSustainabilitySharedDataModel/CloudforSustainabilitySharedDataModel.1.0.manifest.cdm.json,FactorLibrary.1.0.cdm.json/FactorLibrary,FactorLibrary,version,,,,unknown,CdmDataFormat.UNKNOWN,False,,False,,,,,cloudfor_sustainability_shared_data_model_cd_mmanifest,factor_library,version,,,,,,,,
Cloud for Sustainability Shared Data Model CDM manifest,local:/Sustainability/CloudforSustainabilitySharedDataModel/CloudforSustainabilitySharedDataModel.1.0.manifest.cdm.json,FactorLibrary.1.0.cdm.json/FactorLibrary,FactorLibrary,year,,,,unknown,CdmDataFormat.UNKNOWN,False,,False,,,,,cloudfor_sustainability_shared_data_model_cd_mmanifest,factor_library,year,,,,,,,,
Cloud for Sustainability Shared Data Model CDM manifest,local:/Sustainability/CloudforSustainabilitySharedDataModel/CloudforSustainabilitySharedDataModel.1.0.manifest.cdm.json,FactorLibrary.1.0.cdm.json/FactorLibrary,FactorLibrary,type,,,,unknown,CdmDataFormat.UNKNOWN,False,,False,,,,,cloudfor_sustainability_shared_data_model_cd_mmanifest,factor_library,type,,,,,,,,
Cloud for Sustainability Shared Data Model CDM manifest,local:/Sustainability/CloudforSustainabilitySharedDataModel/CloudforSustainabilitySharedDataModel.1.0.manifest.cdm.json,CountryRegionMapping.1.0.cdm.json/CountryRegionMapping,CountryRegionMapping,countryregionmappingId,,,,unknown,CdmDataFormat.UNKNOWN,True,False,False,,,,,cloudfor_sustainability_shared_data_model_cd_mmanifest,country_region_mapping,countryregionmapping_id,,,,,,,,
Cloud for Sustainability Shared Data Model CDM manifest,local:/Sustainability/CloudforSustainabilitySharedDataModel/CloudforSustainabilitySharedDataModel.1.0.manifest.cdm.json,CountryRegionMapping.1.0.cdm.json/CountryRegionMapping,CountryRegionMapping,createdOn,,,,unknown,CdmDataFormat.UNKNOWN,False,,False,,,,,cloudfor_sustainability_shared_data_model_cd_mmanifest,country_region_mapping,created_on,,,,,,,,
Cloud for Sustainability Shared Data Model CDM manifest,local:/Sustainability/CloudforSustainabilitySharedDataModel/CloudforSustainabilitySharedDataModel.1.0.manifest.cdm.json,CountryRegionMapping.1.0.cdm.json/CountryRegionMapping,CountryRegionMapping,modifiedOn,,,,unknown,CdmDataFormat.UNKNOWN,False,,False,,,,,cloudfor_sustainability_shared_data_model_cd_mmanifest,country_region_mapping,modified_on,,,,,,,,
Cloud for Sustainability Shared Data Model CDM manifest,local:/Sustainability/CloudforSustainabilitySharedDataModel/CloudforSustainabilitySharedDataModel.1.0.manifest.cdm.json,CountryRegionMapping.1.0.cdm.json/CountryRegionMapping,CountryRegionMapping,statecode,,,,unknown,CdmDataFormat.UNKNOWN,False,,False,,,,,cloudfor_sustainability_shared_data_model_cd_mmanifest,country_region_mapping,statecode,,,,,,,,
Cloud for Sustainability Shared Data Model CDM manifest,local:/Sustainability/CloudforSustainabilitySharedDataModel/CloudforSustainabilitySharedDataModel.1.0.manifest.cdm.json,CountryRegionMapping.1.0.cdm.json/CountryRegionMapping,CountryRegionMapping,statuscode,,,,unknown,CdmDataFormat.UNKNOWN,False,,False,,,,,cloudfor_sustainability_shared_data_model_cd_mmanifest,country_region_mapping,statuscode,,,,,,,,
Cloud for Sustainability Shared Data Model CDM manifest,local:/Sustainability/CloudforSustainabilitySharedDataModel/CloudforSustainabilitySharedDataModel.1.0.manifest.cdm.json,CountryRegionMapping.1.0.cdm.json/CountryRegionMapping,CountryRegionMapping,importSequenceNumber,,,,unknown,CdmDataFormat.UNKNOWN,False,,False,,,,,cloudfor_sustainability_shared_data_model_cd_mmanifest,country_region_mapping,import_sequence_number,,,,,,,,
Cloud for Sustainability Shared Data Model CDM manifest,local:/Sustainability/CloudforSustainabilitySharedDataModel/CloudforSustainabilitySharedDataModel.1.0.manifest.cdm.json,CountryRegionMapping.1.0.cdm.json/CountryRegionMapping,CountryRegionMapping,overriddenCreatedOn,,,,unknown,CdmDataFormat.UNKNOWN,False,,False,,,,,cloudfor_sustainability_shared_data_model_cd_mmanifest,country_region_mapping,overridden_created_on,,,,,,,,
Cloud for Sustainability Shared Data Model CDM manifest,local:/Sustainability/CloudforSustainabilitySharedDataModel/CloudforSustainabilitySharedDataModel.1.0.manifest.cdm.json,CountryRegionMapping.1.0.cdm.json/CountryRegionMapping,CountryRegionMapping,timeZoneRuleVersionNumber,,,,unknown,CdmDataFormat.UNKNOWN,False,,False,,,,,cloudfor_sustainability_shared_data_model_cd_mmanifest,country_region_mapping,time_zone_rule_version_number,,,,,,,,
Cloud for Sustainability Shared Data Model CDM manifest,local:/Sustainability/CloudforSustainabilitySharedDataModel/CloudforSustainabilitySharedDataModel.1.0.manifest.cdm.json,CountryRegionMapping.1.0.cdm.json/CountryRegionMapping,CountryRegionMapping,UTCConversionTimeZoneCode,,,,unknown,CdmDataFormat.UNKNOWN,False,,False,,,,,cloudfor_sustainability_shared_data_model_cd_mmanifest,country_region_mapping,utc_conversion_time_zone_code,,,,,,,,
Cloud for Sustainability Shared Data Model CDM manifest,local:/Sustainability/CloudforSustainabilitySharedDataModel/CloudforSustainabilitySharedDataModel.1.0.manifest.cdm.json,CountryRegionMapping.1.0.cdm.json/CountryRegionMapping,CountryRegionMapping,name,,,,unknown,CdmDataFormat.UNKNOWN,False,,False,,,,,cloudfor_sustainability_shared_data_model_cd_mmanifest,country_region_mapping,name,,,,,,,,
Cloud for Sustainability Shared Data Model CDM manifest,local:/Sustainability/CloudforSustainabilitySharedDataModel/CloudforSustainabilitySharedDataModel.1.0.manifest.cdm.json,CountryRegionMapping.1.0.cdm.json/CountryRegionMapping,CountryRegionMapping,countryisocode,,,,unknown,CdmDataFormat.UNKNOWN,False,,False,,,,,cloudfor_sustainability_shared_data_model_cd_mmanifest,country_region_mapping,countryisocode,,,,,,,,
Cloud for Sustainability Shared Data Model CDM manifest,local:/Sustainability/CloudforSustainabilitySharedDataModel/CloudforSustainabilitySharedDataModel.1.0.manifest.cdm.json,CountryRegionMapping.1.0.cdm.json/CountryRegionMapping,CountryRegionMapping,region,,,,unknown,CdmDataFormat.UNKNOWN,False,,False,,,,,cloudfor_sustainability_shared_data_model_cd_mmanifest,country_region_mapping,region,,,,,,,,
Cloud for Sustainability Shared Data Model CDM manifest,local:/Sustainability/CloudforSustainabilitySharedDataModel/CloudforSustainabilitySharedDataModel.1.0.manifest.cdm.json,CountryRegionMapping.1.0.cdm.json/CountryRegionMapping,CountryRegionMapping,origincorrelationid,,,,unknown,CdmDataFormat.UNKNOWN,False,,False,,,,,cloudfor_sustainability_shared_data_model_cd_mmanifest,country_region_mapping,origincorrelationid,,,,,,,,
Cloud for Sustainability Shared Data Model CDM manifest,local:/Sustainability/CloudforSustainabilitySharedDataModel/CloudforSustainabilitySharedDataModel.1.0.manifest.cdm.json,CustomDimensionMetadata.1.0.cdm.json/CustomDimensionMetadata,CustomDimensionMetadata,customdimensionmetadataId,,,,unknown,CdmDataFormat.UNKNOWN,True,False,False,,,,,cloudfor_sustainability_shared_data_model_cd_mmanifest,custom_dimension_metadata,customdimensionmetadata_id,,,,,,,,
Cloud for Sustainability Shared Data Model CDM manifest,local:/Sustainability/CloudforSustainabilitySharedDataModel/CloudforSustainabilitySharedDataModel.1.0.manifest.cdm.json,CustomDimensionMetadata.1.0.cdm.json/CustomDimensionMetadata,CustomDimensionMetadata,createdOn,,,,unknown,CdmDataFormat.UNKNOWN,False,,False,,,,,cloudfor_sustainability_shared_data_model_cd_mmanifest,custom_dimension_metadata,created_on,,,,,,,,
Cloud for Sustainability Shared Data Model CDM manifest,local:/Sustainability/CloudforSustainabilitySharedDataModel/CloudforSustainabilitySharedDataModel.1.0.manifest.cdm.json,CustomDimensionMetadata.1.0.cdm.json/CustomDimensionMetadata,CustomDimensionMetadata,modifiedOn,,,,unknown,CdmDataFormat.UNKNOWN,False,,False,,,,,cloudfor_sustainability_shared_data_model_cd_mmanifest,custom_dimension_metadata,modified_on,,,,,,,,
Cloud for Sustainability Shared Data Model CDM manifest,local:/Sustainability/CloudforSustainabilitySharedDataModel/CloudforSustainabilitySharedDataModel.1.0.manifest.cdm.json,CustomDimensionMetadata.1.0.cdm.json/CustomDimensionMetadata,CustomDimensionMetadata,statecode,,,,unknown,CdmDataFormat.UNKNOWN,False,,False,,,,,cloudfor_sustainability_shared_data_model_cd_mmanifest,custom_dimension_metadata,statecode,,,,,,,,
Cloud for Sustainability Shared Data Model CDM manifest,local:/Sustainability/CloudforSustainabilitySharedDataModel/CloudforSustainabilitySharedDataModel.1.0.manifest.cdm.json,CustomDimensionMetadata.1.0.cdm.json/CustomDimensionMetadata,CustomDimensionMetadata,statuscode,,,,unknown,CdmDataFormat.UNKNOWN,False,,False,,,,,cloudfor_sustainability_shared_data_model_cd_mmanifest,custom_dimension_metadata,statuscode,,,,,,,,
Cloud for Sustainability Shared Data Model CDM manifest,local:/Sustainability/CloudforSustainabilitySharedDataModel/CloudforSustainabilitySharedDataModel.1.0.manifest.cdm.json,CustomDimensionMetadata.1.0.cdm.json/CustomDimensionMetadata,CustomDimensionMetadata,importSequenceNumber,,,,unknown,CdmDataFormat.UNKNOWN,False,,False,,,,,cloudfor_sustainability_shared_data_model_cd_mmanifest,custom_dimension_metadata,import_sequence_number,,,,,,,,
Cloud for Sustainability Shared Data Model CDM manifest,local:/Sustainability/CloudforSustainabilitySharedDataModel/CloudforSustainabilitySharedDataModel.1.0.manifest.cdm.json,CustomDimensionMetadata.1.0.cdm.json/CustomDimensionMetadata,CustomDimensionMetadata,overriddenCreatedOn,,,,unknown,CdmDataFormat.UNKNOWN,False,,False,,,,,cloudfor_sustainability_shared_data_model_cd_mmanifest,custom_dimension_metadata,overridden_created_on,,,,,,,,
Cloud for Sustainability Shared Data Model CDM manifest,local:/Sustainability/CloudforSustainabilitySharedDataModel/CloudforSustainabilitySharedDataModel.1.0.manifest.cdm.json,CustomDimensionMetadata.1.0.cdm.json/CustomDimensionMetadata,CustomDimensionMetadata,timeZoneRuleVersionNumber,,,,unknown,CdmDataFormat.UNKNOWN,False,,False,,,,,cloudfor_sustainability_shared_data_model_cd_mmanifest,custom_dimension_metadata,time_zone_rule_version_number,,,,,,,,
Cloud for Sustainability Shared Data Model CDM manifest,local:/Sustainability/CloudforSustainabilitySharedDataModel/CloudforSustainabilitySharedDataModel.1.0.manifest.cdm.json,CustomDimensionMetadata.1.0.cdm.json/CustomDimensionMetadata,CustomDimensionMetadata,UTCConversionTimeZoneCode,,,,unknown,CdmDataFormat.UNKNOWN,False,,False,,,,,cloudfor_sustainability_shared_data_model_cd_mmanifest,custom_dimension_metadata,utc_conversion_time_zone_code,,,,,,,,
Cloud for Sustainability Shared Data Model CDM manifest,local:/Sustainability/CloudforSustainabilitySharedDataModel/CloudforSustainabilitySharedDataModel.1.0.manifest.cdm.json,CustomDimensionMetadata.1.0.cdm.json/CustomDimensionMetadata,CustomDimensionMetadata,logicalname,,,,unknown,CdmDataFormat.UNKNOWN,False,,False,,,,,cloudfor_sustainability_shared_data_model_cd_mmanifest,custom_dimension_metadata,logicalname,,,,,,,,
Cloud for Sustainability Shared Data Model CDM manifest,local:/Sustainability/CloudforSustainabilitySharedDataModel/CloudforSustainabilitySharedDataModel.1.0.manifest.cdm.json,CustomDimensionMetadata.1.0.cdm.json/CustomDimensionMetadata,CustomDimensionMetadata,datatype,,,,unknown,CdmDataFormat.UNKNOWN,False,,False,,,,,cloudfor_sustainability_shared_data_model_cd_mmanifest,custom_dimension_metadata,datatype,,,,,,,,
Cloud for Sustainability Shared Data Model CDM manifest,local:/Sustainability/CloudforSustainabilitySharedDataModel/CloudforSustainabilitySharedDataModel.1.0.manifest.cdm.json,CustomDimensionMetadata.1.0.cdm.json/CustomDimensionMetadata,CustomDimensionMetadata,description,,,,unknown,CdmDataFormat.UNKNOWN,False,,False,,,,,cloudfor_sustainability_shared_data_model_cd_mmanifest,custom_dimension_metadata,description,,,,,,,,
Cloud for Sustainability Shared Data Model CDM manifest,local:/Sustainability/CloudforSustainabilitySharedDataModel/CloudforSustainabilitySharedDataModel.1.0.manifest.cdm.json,CustomDimensionMetadata.1.0.cdm.json/CustomDimensionMetadata,CustomDimensionMetadata,displayname,,,,unknown,CdmDataFormat.UNKNOWN,False,,False,,,,,cloudfor_sustainability_shared_data_model_cd_mmanifest,custom_dimension_metadata,displayname,,,,,,,,
Cloud for Sustainability Shared Data Model CDM manifest,local:/Sustainability/CloudforSustainabilitySharedDataModel/CloudforSustainabilitySharedDataModel.1.0.manifest.cdm.json,EmissionFactor.1.0.cdm.json/EmissionFactor,EmissionFactor,emissionfactorId,,,,unknown,CdmDataFormat.UNKNOWN,True,False,False,,,,,cloudfor_sustainability_shared_data_model_cd_mmanifest,emission_factor,emissionfactor_id,,,,,,,,
Cloud for Sustainability Shared Data Model CDM manifest,local:/Sustainability/CloudforSustainabilitySharedDataModel/CloudforSustainabilitySharedDataModel.1.0.manifest.cdm.json,EmissionFactor.1.0.cdm.json/EmissionFactor,EmissionFactor,createdOn,,,,unknown,CdmDataFormat.UNKNOWN,False,,False,,,,,cloudfor_sustainability_shared_data_model_cd_mmanifest,emission_factor,created_on,,,,,,,,
Cloud for Sustainability Shared Data Model CDM manifest,local:/Sustainability/CloudforSustainabilitySharedDataModel/CloudforSustainabilitySharedDataModel.1.0.manifest.cdm.json,EmissionFactor.1.0.cdm.json/EmissionFactor,EmissionFactor,modifiedOn,,,,unknown,CdmDataFormat.UNKNOWN,False,,False,,,,,cloudfor_sustainability_shared_data_model_cd_mmanifest,emission_factor,modified_on,,,,,,,,
Cloud for Sustainability Shared Data Model CDM manifest,local:/Sustainability/CloudforSustainabilitySharedDataModel/CloudforSustainabilitySharedDataModel.1.0.manifest.cdm.json,EmissionFactor.1.0.cdm.json/EmissionFactor,EmissionFactor,statecode,,,,unknown,CdmDataFormat.UNKNOWN,False,,False,,,,,cloudfor_sustainability_shared_data_model_cd_mmanifest,emission_factor,statecode,,,,,,,,
Cloud for Sustainability Shared Data Model CDM manifest,local:/Sustainability/CloudforSustainabilitySharedDataModel/CloudforSustainabilitySharedDataModel.1.0.manifest.cdm.json,EmissionFactor.1.0.cdm.json/EmissionFactor,EmissionFactor,statuscode,,,,unknown,CdmDataFormat.UNKNOWN,False,,False,,,,,cloudfor_sustainability_shared_data_model_cd_mmanifest,emission_factor,statuscode,,,,,,,,
Cloud for Sustainability Shared Data Model CDM manifest,local:/Sustainability/CloudforSustainabilitySharedDataModel/CloudforSustainabilitySharedDataModel.1.0.manifest.cdm.json,EmissionFactor.1.0.cdm.json/EmissionFactor,EmissionFactor,importSequenceNumber,,,,unknown,CdmDataFormat.UNKNOWN,False,,False,,,,,cloudfor_sustainability_shared_data_model_cd_mmanifest,emission_factor,import_sequence_number,,,,,,,,
Cloud for Sustainability Shared Data Model CDM manifest,local:/Sustainability/CloudforSustainabilitySharedDataModel/CloudforSustainabilitySharedDataModel.1.0.manifest.cdm.json,EmissionFactor.1.0.cdm.json/EmissionFactor,EmissionFactor,overriddenCreatedOn,,,,unknown,CdmDataFormat.UNKNOWN,False,,False,,,,,cloudfor_sustainability_shared_data_model_cd_mmanifest,emission_factor,overridden_created_on,,,,,,,,
Cloud for Sustainability Shared Data Model CDM manifest,local:/Sustainability/CloudforSustainabilitySharedDataModel/CloudforSustainabilitySharedDataModel.1.0.manifest.cdm.json,EmissionFactor.1.0.cdm.json/EmissionFactor,EmissionFactor,timeZoneRuleVersionNumber,,,,unknown,CdmDataFormat.UNKNOWN,False,,False,,,,,cloudfor_sustainability_shared_data_model_cd_mmanifest,emission_factor,time_zone_rule_version_number,,,,,,,,
